Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
0D7,0200,0D7,0000,000,0000,000,0000,0000,004,0100
0D7,0200,0D8,0200,0D7,0200,000,00D7,0000,004,0100
0D8,EE19,0D9,EE19,0F2,0000,000,0019,0000,004,0100,0F2,0000
0D9,AE15,0DA,AE15,0EF,C253,000,0015,C253,008,1000
0DA,0700,0DB,0700,0DA,0700,000,00DA,C254,008,1000
0DB,0C00,0DC,0C00,7FF,C254,7FF,00DB,C254,008,1000,7FF,C254
0DC,D6CC,6CC,D6CC,7FE,00DD,7FE,D6CC,C254,008,1000,7FE,00DD
6CC,AC01,6CD,AC01,7FF,C254,7FE,0001,C254,008,1000
6CD,F001,6CE,F001,6CD,F001,7FE,06CD,C254,008,1000
6CE,F308,6CF,F308,6CE,F308,7FE,06CE,C254,008,1000
6CF,7E0A,6D0,7E0A,6DA,F475,7FE,000A,C254,008,1000
6D0,F806,6D7,F806,6D0,F806,7FE,0006,C254,008,1000
6D7,AE02,6D8,AE02,6DA,F475,7FE,0002,F475,008,1000
6D8,EC01,6D9,EC01,7FF,F475,7FE,0001,F475,008,1000,7FF,F475
6D9,0A00,0DD,0A00,7FE,00DD,7FF,06D9,F475,008,1000
0DD,0800,0DE,0800,7FF,F475,000,00DD,F475,008,1000
0DE,4E13,0DF,4E13,0F2,0000,000,0013,F475,008,1000
0DF,EE12,0E0,EE12,0F2,F475,000,0012,F475,008,1000,0F2,F475
0E0,AE0F,0E1,AE0F,0F0,F592,000,000F,F592,008,1000
0E1,0C00,0E2,0C00,7FF,F592,7FF,00E1,F592,008,1000,7FF,F592
0E2,D6CC,6CC,D6CC,7FE,00E3,7FE,D6CC,F592,008,1000,7FE,00E3
6CC,AC01,6CD,AC01,7FF,F592,7FE,0001,F592,008,1000
6CD,F001,6CE,F001,6CD,F001,7FE,06CD,F592,008,1000
6CE,F308,6CF,F308,6CE,F308,7FE,06CE,F592,008,1000
6CF,7E0A,6D0,7E0A,6DA,F475,7FE,000A,F592,001,0001
6D0,F806,6D1,F806,6D0,F806,7FE,06D0,F592,001,0001
6D1,F005,6D2,F005,6D1,F005,7FE,06D1,F592,001,0001
6D2,0500,6D3,0500,6D2,F592,7FE,06D2,EB24,009,1001
6D3,0500,6D4,0500,6D3,EB24,7FE,06D3,D648,009,1001
6D4,4C01,6D5,4C01,7FF,F592,7FE,0001,CBDA,009,1001
6D5,6E05,6D6,6E05,6DB,00C0,7FE,0005,CB1A,009,1001
6D6,CE01,6D8,CE01,6D6,06D8,7FE,0001,CB1A,009,1001
6D8,EC01,6D9,EC01,7FF,CB1A,7FE,0001,CB1A,009,1001,7FF,CB1A
6D9,0A00,0E3,0A00,7FE,00E3,7FF,06D9,CB1A,009,1001
0E3,0800,0E4,0800,7FF,CB1A,000,00E3,CB1A,009,1001
0E4,4E0D,0E5,4E0D,0F2,F475,000,000D,BF8F,009,1001
0E5,EE0C,0E6,EE0C,0F2,BF8F,000,000C,BF8F,009,1001,0F2,BF8F
0E6,AE0A,0E7,AE0A,0F1,6400,000,000A,6400,001,0001
0E7,0700,0E8,0700,0E7,0700,000,00E7,6401,000,0000
0E8,0C00,0E9,0C00,7FF,6401,7FF,00E8,6401,000,0000,7FF,6401
0E9,D6CC,6CC,D6CC,7FE,00EA,7FE,D6CC,6401,000,0000,7FE,00EA
6CC,AC01,6CD,AC01,7FF,6401,7FE,0001,6401,000,0000
6CD,F001,6CE,F001,6CD,F001,7FE,06CD,6401,000,0000
6CE,F308,6D7,F308,6CE,F308,7FE,0008,6401,000,0000
6D7,AE02,6D8,AE02,6DA,F475,7FE,0002,F475,008,1000
6D8,EC01,6D9,EC01,7FF,F475,7FE,0001,F475,008,1000,7FF,F475
6D9,0A00,0EA,0A00,7FE,00EA,7FF,06D9,F475,008,1000
0EA,0800,0EB,0800,7FF,F475,000,00EA,F475,008,1000
0EB,0740,0EC,0740,0EB,0740,000,00EB,F474,009,1001
0EC,6E05,0ED,6E05,0F2,BF8F,000,0005,34E5,001,0001
0ED,EE04,0EE,EE04,0F2,34E5,000,0004,34E5,001,0001,0F2,34E5
0EE,0100,0EF,0100,0EE,0100,000,00EE,34E5,001,0001
